@Relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@Attribute editPercentage numeric
@Attribute debugPercentage numeric
@Attribute navigationPercentage numeric
@Attribute focusPercentage numeric
@Attribute removePercentage numeric
@Attribute webLinkTimes numeric
@Attribute stuck {YES,NO}

%ParticipantAll
%Participant11
@data
0.0,0.0,0.0,0.0,0.0,0.0,NO
46.15384615384615,0.0,2.564102564102564,30.76923076923077,20.51282051282051,0.0,NO
77.41935483870968,0.0,0.0,0.0,22.58064516129032,0.0,NO
19.565217391304348,0.0,6.521739130434782,73.91304347826086,0.0,0.0,NO
51.162790697674424,18.6046511627907,13.953488372093023,4.651162790697675,11.627906976744185,8.0,YES
46.93877551020408,30.612244897959183,0.0,16.3265306122449,6.122448979591836,0.0,NO
22.413793103448278,74.13793103448276,0.0,0.0,3.4482758620689653,3.0,NO
28.888888888888886,48.888888888888886,0.0,17.77777777777778,4.444444444444445,2.0,YES
17.307692307692307,67.3076923076923,0.0,15.384615384615385,0.0,0.0,NO
25.53191489361702,68.08510638297872,0.0,0.0,6.382978723404255,0.0,NO
21.428571428571427,78.57142857142857,0.0,0.0,0.0,0.0,NO
23.636363636363637,70.9090909090909,0.0,0.0,5.454545454545454,0.0,NO
25.0,75.0,0.0,0.0,0.0,0.0,NO
6.0,84.0,0.0,0.0,10.0,1.0,NO
44.0,26.0,0.0,24.0,6.0,0.0,NO
27.659574468085108,55.319148936170215,4.25531914893617,8.51063829787234,4.25531914893617,0.0,NO
12.727272727272727,80.0,0.0,0.0,7.2727272727272725,4.0,NO
9.803921568627452,74.50980392156863,3.9215686274509802,7.8431372549019605,3.9215686274509802,0.0,NO
8.928571428571429,82.14285714285714,0.0,7.142857142857142,1.7857142857142856,0.0,NO
9.25925925925926,83.33333333333334,0.0,3.7037037037037033,3.7037037037037033,0.0,NO
11.11111111111111,77.77777777777779,0.0,11.11111111111111,0.0,0.0,NO
20.454545454545457,70.45454545454545,4.545454545454546,4.545454545454546,0.0,1.0,NO
25.53191489361702,63.829787234042556,6.382978723404255,4.25531914893617,0.0,2.0,NO
20.754716981132077,66.0377358490566,1.8867924528301887,7.547169811320755,3.7735849056603774,1.0,NO
20.754716981132077,64.15094339622641,0.0,11.320754716981133,3.7735849056603774,0.0,NO
12.280701754385964,87.71929824561403,0.0,0.0,0.0,0.0,NO
